Ecosystem,Gain,Loss,Total_Area,Year
mangrove,0,0,846.6328908,1996
mangrove,254.1467302,452.5663389,648.2132821,2000
mangrove,416.8035477,262.7310114,802.2858184,2015
mangrove,25.38441887,17.8899331,809.7803042,2020
seagrass,0,0,2703.572205,1996
seagrass,1918.979627,1692.777154,2929.774678,2000
seagrass,1191.37789,1718.495883,2402.656685,2015
seagrass,927.7994426,768.1189702,2562.337158,2020
reef,0,0,654.0138967,1996
reef,442.5989556,315.6684517,780.9444006,2000
reef,110.1379548,711.7982703,179.284085,2015
reef,105.5548525,87.6867263,197.1522113,2020
